stazPart,stazArr
PERUGIA,FOLIGNO
LAMEZIA,CATANZARO
DOMODOSSOLA,MILANO
ARONA,NOVARA
L`AQUILA,SULMONA
SAPRI,COSENZA
CARBONIA,VILLAMASSARGIA
FELTRE,BELLUNO
BELLUNO,FELTRE
PONTREMOLI,LA SPEZIA
PIAZZA,AULLA
CASSINO,FROSINONE
RIETI,TERNI
TARANTO,BRINDISI
CHIAVENNA,COLICO
CHIAVENNA,COLICO
LEGNAGO,SALETTO
SERMIDE,SUZZARA
TIVOLI,ROMA
MANDELA-SAMBUCI,ROMA
MORTARA,MI.P.GENOVA
MORTARA,CASALE
MORTARA,VERCELLI
MORTARA,NOVARA
CIVITAVECCHIA,ROMA
ASTI,ALBA
VERONA,MANTOVA
BORGO,FIRENZE
AREZZO,FIRENZE
BIELLA,SANTHIA`
SANTHIA`,BIELLA
STABIO,BUSTO
BUSTO,STABIO
GALLARATE,VARESE
VARESE,STABIO
FIRENZE,PISTOIA
PISTOIA,FIRENZE
PISTOIA,FIRENZE
CAGLIARI,DECIMOMANNU
MILAZZO,MESSINA
GIAMPILIERI,MESSINA
S.AGATA,MESSINA
MESSINA,GIAMPILIERI
TREVIGLIO,CREMONA
PIADENA,CREMONA
MERANO,BOLZANO
GIACHERY,PALERMO
PALERMO,PUNTA
PUNTA,PALERMO
GIACHERY,PALERMO
PALERMO,GIACHERY
PALERMO,GIACHERY
CASARSA,PORTOGRUARO
PORTOGRUARO,CASARSA
BARI,BARLETTA
FIDENZA,CREMONA
TERMOLI,PESCARA
PESARO,RIMINI
ROVIGO,BOLOGNA
SERMIDE,FERRARA
NAPOLI,CASERTA
CASERTA,NAPOLI
TORINO,CHIVASSO
FARA,FIUMICINO
ROMA,MONTEROTONDO
VITERBO,ROMA
ACQUI,SAVONA
SASSUOLO,REGGIO
GUASTALLA,REGGIO
CIANO,REGGIO
REGGIO,SASSUOLO
TORINO,ASTI
RIVAROLO,CHIERI
PINEROLO,CHIVASSO
COLLEFERRO-SEGNI-PALIANO,ROMA
FRASCATI,ROMA
ROMA,FRASCATI
ALBANO,ROMA
COLLEFERRO-SEGNI-PALIANO,ROMA
VELLETRI,ROMA
CIAMPINO,ALBANO
FIRENZE,EMPOLI
AREZZO,FIRENZE
BORGO,FIRENZE
AGRIGENTO,PALERMO
CEFALU`,PALERMO
AGRIGENTO,PALERMO
PALERMO,TERMINI
SCHIO,VICENZA
BASSANO,VICENZA
CHIASSO,MILANO
CHIASSO,COMO
MILANO,CHIASSO
CHIASSO,COMO
LECCO,COMO
COMO,CHIASSO
BRESCIA,BERGAMO
TREVIGLIO,BERGAMO
BRESCIA,BERGAMO
BITRITTO,BARI
TARANTO,BARI
BARI,BITRITTO
SASSUOLO,MODENA
MODENA,SASSUOLO
VOGHERA,ASTI
ACQUI,ALESSANDRIA
ALESSANDRIA,ACQUI
ALESSANDRIA,VOGHERA
PIADENA,PARMA
SUZZARA,PARMA
PARMA,BERCETO
VITERBO,ROMA
ROMA,VIGNA
LA SPEZIA,ROMA
VITERBO,ROMA
DOMODOSSOLA,NOVARA
BIELLA,ROVASENDA
NOVARA,ARONA
VENEZIA,CONEGLIANO
VENEZIA,TREVISO
MONTEBELLUNA,TREVISO
TREVISO,MONTEBELLUNA
TREVISO,VENEZIA
TREVISO,VENEZIA
BRESCIA,MILANO
MILANO,PAVIA
PAVIA,MILANO
POZZUOLI,NAPOLI
NAPOLI,POZZUOLI
POZZUOLI,NAPOLI
NAPOLI,POZZUOLI
VILLA,NAPOLI
NAPOLI,POZZUOLI
VILLA,NAPOLI
NAPOLI,VILLA
NAPOLI,VILLA
NOVI,GENOVA
NOVI,GENOVA
LIVORNO,LUCCA
PONTEDERA,PISA
NAPOLI,VILLA
