stazPart,stazArr
PALERMO,GIACHERY
PALERMO,GIACHERY
PALERMO,PALERMO
CASARSA,PORTOGRUARO
FIDENZA,CREMONA
TERMOLI,PESCARA
RIMINI,RAVENNA
CODIGORO,FERRARA
FERRARA,POGGIO
CASALE,CHIVASSO
POGGIO,FIUMICINO
FIUMICINO,FARA
SASSUOLO,REGGIO
GUASTALLA,S.LAZZARO
RIVAROLO,CHIERI
PINEROLO,CHIVASSO
EMPOLI,FIRENZE
BORGO,FIRENZE
TERMINI,PALERMO
PALERMO,TERMINI
LUINO,GALLARATE
SCHIO,VENEZIA
SCHIO,VICENZA
PESARO,ANCONA
ANCONA,JESI
ANCONA,VARANO
ANCONA,VARANO
CHIASSO,COMO
MOLTENO,COMO
COMO,CHIASSO
BRESCIA,BERGAMO
LA SPEZIA,LEVANTO
TARANTO,BARI
FASANO,BARLETTA
BITRITTO,BARI
BARI,BITRITTO
SASSUOLO,MODENA
MODENA,SASSUOLO
MODENA,CARPI
ARQUATA,ALESSANDRIA
VOGHERA,ALESSANDRIA
BRESCIA,PARMA
PARMA,BERCETO
DOMODOSSOLA,NOVARA
NOVARA,ARONA
VENEZIA,SACILE
TREVISO,MONTEBELLUNA
TREVISO,VICENZA
TREVISO,CONEGLIANO
VERONA,MANTOVA
ARQUATA,GENOVA
BUSALLA,GENOVA
PISA,VIAREGGIO
MERCATO,SALERNO
TORRE,SALERNO
SALERNO,MERCATO
SALERNO,CASERTA
BASSANO,PADOVA
CASTELFRANCO,PADOVA
MONTEBELLUNA,PADOVA
VENEZIA,PADOVA
M,MALPENSA
M,SARONNO
ASSO,M
M,VARESE
M,COMO
M,NOVARA
MALPENSA,M
CAMNAGO,M
M,CAMNAGO
LAVENO,M
M,MALPENSA
NOVARA,M
M,SARONNO
COMO,M
ASSO,M
MALPENSA,M
SARONNO,M
VENEZIA,BASSANO
BASSANO,VENEZIA
ROCCAPALUMBA-ALIA,CALTANISSETTA
AUGUSTA,SIRACUSA
IGLESIAS,VILLAMASSARGIA
VILLAMASSARGIA,IGLESIAS
CONEGLIANO,BELLUNO
IMPERIA,VENTIMIGLIA
L`AQUILA,TERNI
CASALE,MORTARA
MI.P.GENOVA,MORTARA
PONTE,LADISPOLI-CERVETERI
CASTELBOLOGNESE,RAVENNA
CREMONA,CODOGNO
ALBA,ASTI
ACQUI,ASTI
SALETTO,MANTOVA
ORISTANO,CAGLIARI
TREVIGLIO,CREMONA
MERANO,BOLZANO
GIACHERY,PALERMO
PUNTA,PALERMO
GIACHERY,PALERMO
PALERMO,GIACHERY
CASARSA,PORTOGRUARO
CIANO,REGGIO
SASSUOLO,REGGIO
RIVAROLO,CHIERI
PRATO,FIRENZE
BORGO,FIRENZE
TERMINI,PALERMO
AGRIGENTO,PALERMO
TERMINI,PALERMO
S.AGATA,PALERMO
SCHIO,VICENZA
JESI,ANCONA
ANCONA,VARANO
CHIASSO,COMO
TREVIGLIO,BERGAMO
BERGAMO,TREVIGLIO
SESTRI,LA SPEZIA
BITRITTO,BARI
TARANTO,BARI
CARPI,MODENA
SASSUOLO,MODENA
MODENA,CARPI
SUZZARA,PARMA
BERCETO,PARMA
BRESCIA,PARMA
ROVASENDA,NOVARA
DOMODOSSOLA,NOVARA
MONTEBELLUNA,TREVISO
GENOVA,GENOVA
ARQUATA,GENOVA
PONTEDERA,PISA
BASSANO,PADOVA
CAMNAGO,M
LAVENO,M
BASSANO,VENEZIA
VENEZIA,VENEZIA
VENEZIA,VENEZIA
ANCONA,PIACENZA
LA SPEZIA,VENTIMIGLIA
FOLIGNO,FIRENZE
TRIESTE,VENEZIA
VENEZIA,TRIESTE
SASSARI,CAGLIARI
AVEZZANO,PESCARA
GROSSETO,FIRENZE
PONTREMOLI,FIRENZE
AULLA,PISA
VENTIMIGLIA,SESTRI
SALERNO,PAOLA
CHIUSI,TERNI
REGGIO,CATANZARO
REGGIO,COSENZA
CATANIA,MESSINA
MESSINA,PALERMO
TRIESTE,VENEZIA
TRIESTE,SACILE
PALERMO,MESSINA
SARZANA,SAVONA
GENOVA,VENTIMIGLIA
FIRENZE,LA SPEZIA
ROCCELLA,REGGIO
SIBARI,CATANZARO
AVEZZANO,CASSINO
SONDRIO,LECCO
POTENZA,MELFI
BRENNERO,VERONA
FORTEZZA,MERANO
CATANZARO,SIBARI
FABRIANO,CIVITANOVA
SULMONA,TERAMO
COSENZA,REGGIO
BELLUNO,VENEZIA
GROSSETO,FIRENZE
LAMEZIA,REGGIO
S.BENEDETTO,SULMONA
VENTIMIGLIA,SAVONA
TERAMO,TERMOLI
PESCARA,ANCONA
FOLIGNO,ANCONA
FOLIGNO,TERONTOLA
CASSINO,AVEZZANO
CASSINO,CASERTA
TERNI,L`AQUILA
ORBETELLO,LIVORNO
CIVITANOVA,FABRIANO
CHIUSI,FOLIGNO
CHIUSI,FIRENZE
REGGIO,COSENZA
IVREA,NOVARA
SIENA,FIRENZE
VARESE,TREVIGLIO
VARESE,TREVIGLIO
FOGGIA,POTENZA
FAENZA,FIRENZE
MESSINA,PALERMO
MESSINA,S.AGATA
CREMONA,PAVIA
UDINE,VENEZIA
VIAREGGIO,FIRENZE
BOLZANO,VERONA
BARLETTA,FASANO
TRIESTE,VENEZIA
TRIESTE,UDINE
FERRARA,SUZZARA
FERRARA,VENEZIA
CHIVASSO,PINEROLO
PALERMO,DITTAINO
LA SPEZIA,GENOVA
ALESSANDRIA,CHIVASSO
PARMA,BRESCIA
NOVARA,DOMODOSSOLA
NOVARA,IVREA
NOVARA,TREVIGLIO
TREVIGLIO,VARESE
TREVIGLIO,NOVARA
TORREBERETTI,PAVIA
BRESCIA,VENEZIA
BRESCIA,VENEZIA
VERONA,BOLZANO
VERONA,VENEZIA
FIUMICINO,ORTE
MONZA,MOLTENO
SARONNO,ALBAIRATE
FIRENZE,FIUMICINO
FIRENZE,VIAREGGIO
FIRENZE,LIVORNO
FIRENZE,FAENZA
VENEZIA,VERONA
CALTANISSETTA,DITTAINO
SONDRIO,LECCO
BRENNERO,MERANO
IGLESIAS,CAGLIARI
PONTREMOLI,PISA
